filename,width,height,class,xmin,ymin,xmax,ymax
162.jpg,4000,3000,pill,1931,1338,2210,1622
88.jpg,4416,3312,pill,1570,1339,2901,2003
176.jpg,2592,1944,pill,1143,840,1318,1005
63.jpg,2048,1536,pill,864,649,1223,835
77.jpg,2560,1920,pill,774,731,1783,1131
189.jpg,512,384,pill,122,137,415,243
76.jpg,2592,1944,pill,1143,862,1567,1024
188.jpg,2048,1536,pill,873,587,1226,938
62.jpg,512,384,pill,193,142,317,268
89.jpg,2048,1536,pill,869,711,1133,817
177.jpg,4416,3312,pill,1887,1358,2541,2012
163.jpg,4288,3216,pill,2021,1403,2334,1716
175.jpg,4416,3312,pill,1869,1326,2537,2003
161.jpg,4416,3312,pill,1901,1339,2509,1934
149.jpg,2048,1536,pill,894,687,1168,899
48.jpg,2592,1944,pill,1043,827,1289,970
74.jpg,512,384,pill,163,148,344,232
60.jpg,4416,3312,pill,1915,1349,2551,1998
61.jpg,4288,3216,pill,1927,1386,2213,1681
75.jpg,4416,3312,pill,1906,1395,2481,1961
49.jpg,4000,3000,pill,1856,1405,2156,1547
148.jpg,4416,3312,pill,1339,980,3145,1924
160.jpg,2560,1920,pill,1070,819,1476,1059
174.jpg,4000,3000,pill,1889,1172,2110,1405
158.jpg,2048,1536,pill,830,685,1187,822
170.jpg,4416,3312,pill,1851,1280,2546,1966
164.jpg,2560,1920,pill,1137,846,1449,1158
71.jpg,4288,3216,pill,1980,1502,2222,1743
65.jpg,2592,1944,pill,1235,967,1397,1129
59.jpg,2560,1920,pill,1227,851,1430,1054
58.jpg,4416,3312,pill,1809,1339,2785,1901
64.jpg,4288,3216,pill,2052,1421,2477,1846
70.jpg,4288,3216,pill,2025,1292,2445,1716
165.jpg,2592,1944,pill,1137,867,1421,1040
171.jpg,512,384,pill,182,139,311,264
159.jpg,4000,3000,pill,1860,959,2164,1259
99.jpg,4288,3216,pill,1918,1480,2325,1895
167.jpg,4416,3312,pill,1975,1432,2380,1846
173.jpg,4416,3312,pill,1809,1496,2505,1837
66.jpg,4416,3312,pill,1726,1441,2698,1814
198.jpg,4000,3000,pill,1668,1192,2289,1555
72.jpg,2560,1920,pill,1019,859,1526,1097
8.jpg,4288,3216,pill,1936,1497,2235,1801
9.jpg,4288,3216,pill,2007,1457,2284,1739
73.jpg,2560,1920,pill,1030,862,1540,1102
67.jpg,2560,1920,pill,1254,848,1441,1038
199.jpg,4000,3000,pill,1881,1326,2110,1551
172.jpg,4416,3312,pill,2003,1459,2353,1809
98.jpg,2592,1944,pill,1018,864,1432,1027
166.jpg,4416,3312,pill,1616,1464,2813,1892
101.jpg,4000,3000,pill,1714,1388,2490,1664
115.jpg,4416,3312,pill,2058,1418,2481,1846
129.jpg,512,384,pill,171,150,355,254
28.jpg,2560,1920,pill,1091,867,1540,1091
14.jpg,2592,1944,pill,978,835,1486,1024
15.jpg,2592,1944,pill,1186,894,1348,1051
29.jpg,4416,3312,pill,1643,1409,2831,1869
128.jpg,2048,1536,pill,956,668,1198,828
114.jpg,4000,3000,pill,1826,1263,2143,1589
100.jpg,4416,3312,pill,1772,1339,2592,1961
116.jpg,2592,1944,pill,1100,791,1402,1097
102.jpg,4000,3000,pill,1772,1334,2239,1580
17.jpg,2048,1536,pill,852,723,1266,875
16.jpg,4416,3312,pill,1938,1330,2560,1947
103.jpg,4416,3312,pill,1703,1432,2739,1809
117.jpg,4416,3312,pill,1777,1464,2698,1864
113.jpg,4288,3216,pill,1886,1377,2405,1904
107.jpg,2560,1920,pill,1049,854,1484,1110
12.jpg,4416,3312,pill,2076,1418,2546,1883
13.jpg,4416,3312,pill,1754,1450,2698,1795
106.jpg,2560,1920,pill,1094,752,1473,1131
112.jpg,4416,3312,pill,1855,1316,2574,2044
138.jpg,2592,1944,pill,1094,835,1308,978
104.jpg,4416,3312,pill,1878,1528,2500,1814
110.jpg,512,384,pill,160,140,383,246
11.jpg,4416,3312,pill,1929,1386,2440,1920
39.jpg,4416,3312,pill,1924,1353,2560,2007
38.jpg,2560,1920,pill,1099,784,1468,1161
10.jpg,4416,3312,pill,1818,1468,2583,1851
111.jpg,2592,1944,pill,954,800,1505,994
105.jpg,2048,1536,pill,916,662,1127,877
139.jpg,4288,3216,pill,1976,1484,2302,1806
120.jpg,2560,1920,pill,971,859,1617,1099
134.jpg,2560,1920,pill,1123,822,1420,1129
108.jpg,4416,3312,pill,1722,1386,2804,1980
21.jpg,4416,3312,pill,1970,1468,2551,1795
35.jpg,4000,3000,pill,1835,1159,2139,1464
34.jpg,4416,3312,pill,1878,1404,2587,1920
20.jpg,2560,1920,pill,1043,832,1526,1086
109.jpg,4416,3312,pill,1666,1381,2749,2049
135.jpg,4000,3000,pill,1797,1288,2223,1455
121.jpg,2048,1536,pill,935,698,1099,864
137.jpg,2560,1920,pill,1062,856,1585,1062
123.jpg,4000,3000,pill,1701,1267,2264,1580
36.jpg,512,384,pill,203,138,336,268
22.jpg,4288,3216,pill,2070,1551,2374,1712
23.jpg,2048,1536,pill,828,696,1210,841
37.jpg,4416,3312,pill,1970,1436,2412,1883
122.jpg,4288,3216,pill,1936,1435,2342,1828
136.jpg,512,384,pill,145,145,374,272
132.jpg,4416,3312,pill,1689,1358,2795,1924
126.jpg,2048,1536,pill,894,589,1202,896
33.jpg,2560,1920,pill,928,798,1649,1145
27.jpg,4000,3000,pill,1843,1293,2098,1551
26.jpg,2560,1920,pill,961,838,1598,1073
32.jpg,4416,3312,pill,1611,1386,2776,1952
127.jpg,4416,3312,pill,1653,1427,2785,1864
133.jpg,512,384,pill,185,155,361,266
119.jpg,4416,3312,pill,2012,1330,2560,1887
125.jpg,2592,1944,pill,1127,921,1348,1151
131.jpg,4416,3312,pill,1883,1174,2495,1791
24.jpg,4288,3216,pill,1958,1439,2293,1627
30.jpg,2560,1920,pill,1051,819,1585,1027
18.jpg,512,384,pill,185,118,364,223
19.jpg,2560,1920,pill,966,883,1582,1206
31.jpg,2560,1920,pill,912,803,1609,1059
25.jpg,2560,1920,pill,1137,792,1524,1177
130.jpg,2592,1944,pill,1100,845,1429,978
124.jpg,4288,3216,pill,1904,1193,2392,1676
118.jpg,4416,3312,pill,1841,1312,2551,2007
143.jpg,2048,1536,pill,813,647,1281,905
157.jpg,2560,1920,pill,1089,747,1521,1182
81.jpg,4416,3312,pill,1689,1372,2781,1966
95.jpg,2560,1920,pill,1091,811,1396,1113
180.jpg,4288,3216,pill,2016,1453,2266,1708
194.jpg,4288,3216,pill,1900,1363,2423,1627
42.jpg,2560,1920,pill,1195,867,1460,1131
56.jpg,2048,1536,pill,828,670,1249,909
4.jpg,512,384,pill,95,123,427,274
57.jpg,2560,1920,pill,1206,854,1478,1126
5.jpg,2048,1536,pill,764,676,1195,890
43.jpg,4288,3216,pill,1797,1484,2799,2029
195.jpg,2560,1920,pill,1083,811,1406,1137
181.jpg,4416,3312,pill,1786,1363,2767,1841
94.jpg,4288,3216,pill,2025,1439,2512,1927
80.jpg,2048,1536,pill,907,615,1268,809
156.jpg,4288,3216,pill,1895,1345,2369,1819
142.jpg,4000,3000,pill,1772,1213,2218,1434
154.jpg,2592,1944,pill,1189,775,1443,913
140.jpg,2048,1536,pill,800,820,1131,952
168.jpg,4288,3216,pill,1927,1399,2213,1685
96.jpg,2560,1920,pill,1118,886,1401,1051
82.jpg,4416,3312,pill,1671,1427,2808,1860
197.jpg,4000,3000,pill,1889,1280,2143,1539
69.jpg,2560,1920,pill,1177,878,1500,1051
183.jpg,4416,3312,pill,1791,1441,2675,1938
7.jpg,2560,1920,pill,1225,846,1441,1062
55.jpg,2560,1920,pill,966,800,1676,1158
41.jpg,2048,1536,pill,928,719,1121,824
40.jpg,2560,1920,pill,1081,779,1446,1153
6.jpg,2560,1920,pill,1166,803,1404,1038
54.jpg,2048,1536,pill,946,700,1142,899
182.jpg,4416,3312,pill,1846,1220,2532,1929
196.jpg,2048,1536,pill,946,659,1112,826
68.jpg,2048,1536,pill,896,685,1065,860
83.jpg,2048,1536,pill,802,691,1304,881
169.jpg,4000,3000,pill,1801,1176,2168,1559
97.jpg,2592,1944,pill,1078,905,1478,1054
141.jpg,2048,1536,pill,950,664,1086,794
155.jpg,2560,1920,pill,1043,774,1561,1083
93.jpg,2592,1944,pill,1191,781,1389,981
179.jpg,2560,1920,pill,1097,827,1452,1099
87.jpg,4416,3312,pill,1759,1473,2638,1860
151.jpg,512,384,pill,195,147,328,232
145.jpg,4416,3312,pill,1957,1404,2458,1920
50.jpg,2592,1944,pill,1089,883,1286,1089
2.jpg,4416,3312,pill,1915,1372,2481,1929
44.jpg,4416,3312,pill,1749,1441,2693,1906
192.jpg,4288,3216,pill,1962,1502,2311,1725
186.jpg,4288,3216,pill,1989,1408,2311,1739
78.jpg,4416,3312,pill,1943,1432,2435,1920
187.jpg,2048,1536,pill,916,640,1125,856
79.jpg,4416,3312,pill,2026,1445,2412,1841
193.jpg,2048,1536,pill,871,666,1170,832
45.jpg,4288,3216,pill,2114,1564,2454,1904
51.jpg,2560,1920,pill,1150,923,1417,1062
3.jpg,4416,3312,pill,1703,1450,2790,1855
144.jpg,2048,1536,pill,899,629,1153,892
150.jpg,4416,3312,pill,1984,1358,2481,1915
178.jpg,4416,3312,pill,1542,1358,3016,1975
86.jpg,4416,3312,pill,1676,1409,2808,1823
92.jpg,4416,3312,pill,1929,1252,2371,1703
84.jpg,2560,1920,pill,995,910,1732,1174
90.jpg,4416,3312,pill,1846,1478,2477,1855
146.jpg,4288,3216,pill,1980,1627,2700,1953
152.jpg,2592,1944,pill,1100,797,1527,959
47.jpg,4416,3312,pill,1731,1459,2656,1809
1.jpg,2560,1920,pill,1089,814,1558,1123
53.jpg,512,384,pill,97,140,414,248
185.jpg,2560,1920,pill,1001,840,1596,1147
191.jpg,4288,3216,pill,1721,1363,2557,1846
190.jpg,2592,1944,pill,1097,837,1386,948
184.jpg,4288,3216,pill,1748,1399,2535,1703
0.jpg,4416,3312,pill,2035,1478,2394,1841
52.jpg,2048,1536,pill,864,668,1193,852
46.jpg,2048,1536,pill,875,698,1202,877
153.jpg,2560,1920,pill,1091,870,1460,1081
147.jpg,4416,3312,pill,1975,1390,2481,1906
91.jpg,2560,1920,pill,979,832,1505,1035
85.jpg,4288,3216,pill,1775,1685,2097,2012
